                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4583,                 1.2137,                0.98226,                 1.7176,                 2.0515,                0.96129,                0.33601,                0.50198,                 0.4087,                0.21977,                  1.823,                 1.6774,                 1.3594,                 1.8436,                 4.1761,                 1.3225,             0.00018701,             0.00018701,             0.00018701
                     24,                 1.4381,                 1.3392,                0.98878,                 1.6977,                 2.5744,                0.99339,                0.50778,                 0.4014,                0.35984,                0.15615,                 1.8887,                 1.7544,                 1.4067,                  1.896,                 4.7499,                  1.376,             0.00019085,             0.00019085,             0.00019085
                     25,                 1.8052,                 1.6086,                 1.1963,                 1.8773,                 3.0552,                 1.1133,                0.40376,                0.43298,                 0.3663,                0.14061,                 1.9883,                 1.7724,                 1.4486,                 2.0036,                   5.02,                 1.3652,              0.0001943,              0.0001943,              0.0001943
                     26,                 1.2871,                 1.1097,                0.94863,                 1.4969,                 2.1351,                0.95964,                0.42437,                0.45937,                0.40136,                0.16549,                 1.9431,                 1.7264,                 1.4155,                 1.8429,                 4.7502,                 1.2911,             0.00019738,             0.00019738,             0.00019738
                     27,                 1.2485,                 1.0026,                0.92912,                 1.4289,                 1.9448,                0.91572,                0.44475,                0.52036,                0.42022,                0.18858,                 1.8176,                 1.7107,                 1.3411,                 1.7287,                 4.2737,                 1.2097,             0.00020008,             0.00020008,             0.00020008
                     28,                 1.1627,                0.97985,                0.93743,                 1.4991,                 1.8133,                0.93108,                0.44475,                0.52036,                0.42022,                0.18858,                 1.8176,                 1.7107,                 1.3411,                 1.7287,                 4.2737,                 1.2097,             0.00020239,             0.00020239,             0.00020239
                     29,                 1.4239,                 1.0281,                0.98766,                 1.7125,                 1.7714,                0.94547,                0.52231,                0.53109,                 0.4365,                0.21942,                 1.7554,                 1.6528,                 1.3021,                 1.6816,                 3.9314,                 1.1902,             0.00020432,             0.00020432,             0.00020432
                     30,                 1.3274,                 1.0363,                0.92073,                 1.4939,                 1.7825,                0.90396,                0.51983,                0.54106,                 0.4217,                0.22462,                 1.7501,                   1.69,                 1.3083,                 1.7301,                 3.6559,                 1.1951,             0.00020588,             0.00020588,             0.00020588
                     31,                  1.262,                 1.0441,                0.97694,                 1.3847,                  1.754,                 0.9644,                0.51983,                0.54106,                 0.4217,                0.22462,                 1.7501,                   1.69,                 1.3083,                 1.7301,                 3.6559,                 1.1951,             0.00020705,             0.00020705,             0.00020705
                     32,                 1.4151,                 1.0623,                 1.0688,                 1.5462,                 1.8431,                 1.0262,                0.48453,                0.60999,                0.42307,                0.21684,                 1.8276,                 1.6988,                 1.3653,                 1.8119,                 3.3311,                 1.2198,             0.00020784,             0.00020784,             0.00020784
                     33,                 1.2257,                 0.9162,                0.94741,                 1.4209,                 1.5214,                 0.9344,                0.42186,                0.58193,                  0.517,                0.25331,                 1.8539,                 1.6798,                 1.4009,                 1.8264,                 3.1479,                 1.2468,             0.00020825,             0.00020825,             0.00020825
                     34,                 1.1969,                 1.0509,                 1.0005,                 1.3945,                 1.6906,                0.98605,                0.42186,                0.58193,                  0.517,                0.25331,                 1.8539,                 1.6798,                 1.4009,                 1.8264,                 3.1479,                 1.2468,             0.00020828,             0.00020828,             0.00020828
                     35,                 1.2191,                0.87407,                0.90726,                 1.5139,                 1.4909,                0.89923,                0.37455,                0.61947,                0.47836,                0.22242,                 1.8783,                  1.677,                 1.4156,                 1.8326,                 3.0421,                 1.2723,             0.00020793,             0.00020793,             0.00020793
                     36,                 1.3326,                0.99503,                0.99942,                 1.5406,                 1.6408,                0.94861,                0.40362,                0.57139,                0.51588,                0.24496,                 1.8261,                 1.5721,                 1.3831,                 1.7924,                 2.8727,                 1.2429,              0.0002072,              0.0002072,              0.0002072
                     37,                  1.154,                 1.1077,                0.91906,                 1.4191,                  1.825,                0.91909,                0.40362,                0.57139,                0.51588,                0.24496,                 1.8261,                 1.5721,                 1.3831,                 1.7924,                 2.8727,                 1.2429,             0.00020608,             0.00020608,             0.00020608
